2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:23		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:24		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:25		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:26		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:26		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:27		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
